,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
145,Tactical Evolution,TAEV-EN084,Secret Rare,Abyssal Kingshark,Monster,WATER,1700,600,4.0,None,nan,Fish , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
146,Clash of Rebellions,CORE-EN007,Common,Superheavy Samurai Blowtorch,Monster,EARTH,500,300,1.0,None,nan,Machine , Effect,None,None,Trigger, Trigger, Continuous,,,,,,,, Unlimited 
147,The Shining Darkness,TSHD-EN016,Rare,Revival Rose,Monster,DARK,1300,1300,4.0,None,nan,Plant , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
148,Blazing Vortex,BLVO-EN009,Common,Springans Captain Sargas,Monster,FIRE,1500,2800,8.0,None,nan,Machine , Effect,None,None,Ignition, Quick, Condition, Condition, Continuous,,,,,, Unlimited 
149,Primal Origin,PRIO-EN024,Ultra Rare,Bujin Hirume,Monster,LIGHT,2000,1000,4.0,None,nan,Beast-Warrior , Effect,None,None,Summoning condition, Summoning condition, Trigger, Unclassified,,,,,,, Unlimited 
150,Pharaonic Guardian,PGD-069,Ultra Rare,Mystical Knight of Jackal,Monster,LIGHT,2700,1200,7.0,None,nan,Beast-Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
151,Gladiator's Assault,GLAS-EN064,Common,No Entry!!,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
152,Clash of Rebellions,CORE-EN073,Rare,Igknight Burst,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Trigger-like,,,,,,,,, Unlimited 
153,Maximum Crisis ,MACR-EN025,Super Rare,"Metaltron XII, the True Dracombatant",Monster,LIGHT,3000,3000,9.0,None,nan,Wyrm , Effect,None,None,Summoning condition, Summoning condition, Continuous, Trigger,,,,,,, Unlimited 
154,Legend of Blue Eyes White Dragon,LOB-047,Common,Wasteland,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
155,Blazing Vortex,BLVO-EN081,Super Rare,Materiactor Gigadra,Monster,DARK,1000,1000,3.0,None,nan,Dragon , Effect,None,None,Ignition, Condition, Continuous,,,,,,,, Unlimited 
156,Blazing Vortex,BLVO-EN013,Super Rare,S-Force Orrafist,Monster,LIGHT,1800,1000,4.0,None,nan,Cyberse , Effect,None,None,Continuous, Quick, Condition,,,,,,,, Unlimited 
157,Extreme Victory,EXVC-EN003,Rare,Salvage Warrior,Monster,WATER,1900,1600,5.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
158,Crimson Crisis,CRMS-EN047,Rare,Star Blast,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
159,Burst of Destiny,BODE-EN060,Super Rare,Reptilianne Ramifications,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
160,Metal Raiders,MRD-036,Rare,Magician of Faith,Monster,LIGHT,300,400,1.0,None,nan,Spellcaster , Flip , Effect,None,Flip,,,,,,,,,, Unlimited 
161,Shadow of Infinity,SOI-EN010,Rare,Proto-Cyber Dragon,Monster,LIGHT,1100,600,3.0,None,nan,Machine , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
162,Metal Raiders,MRD-086,Rare,Princess of Tsurugi,Monster,WIND,900,700,3.0,None,nan,Warrior , Effect,None,None,Flip,,,,,,,,,, Unlimited 
163,Crimson Crisis,CRMS-EN018,Common,Morphtronic Slingen,Monster,WIND,1200,800,4.0,None,nan,Machine , Effect,None,None,Ignition, Continuous,,,,,,,,, Unlimited 
164,Breakers of Shadow,BOSH-EN094,Secret Rare,Cyber Dragon Infinity,Monster,LIGHT,2100,1600,6.0,None,nan,Machine , Xyz , Effect,None,Summoning condition, Continuous, Ignition, Quick,,,,,,, Unlimited 
165,Circuit Break,CIBR-EN097,Super Rare,Number 41: Bagooska the Terribly Tired Tapir,Monster,EARTH,2100,2000,4.0,None,nan,Fiend , Xyz , Effect,None,Maintenance cost, Continuous, Continuous, Continuous,,,,,,, Unlimited 
166,Judgment of the Light,JOTL-EN024,Common,Mecha Phantom Beast Coltwing,Monster,WIND,1600,1500,4.0,None,nan,Machine , Effect,None,None,Trigger, Condition, Continuous, Continuous, Ignition,,,,,, Unlimited 
167,Legend of Blue Eyes White Dragon,LOB-027,Rare,Aqua Madoor,Monster,WATER,1200,2000,4.0,None,nan,Spellcaster , Normal,None,None,nan,,,,,,,,,, Unlimited 
168,The New Challengers,NECH-EN059,Super Rare,1st Movement Solo,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition, Condition,,,,,,, Unlimited 
169,Circuit Break,CIBR-EN019,Common,Krawler Receptor,Monster,EARTH,900,1200,2.0,None,nan,Insect , Flip , Effect,None,Flip, Trigger, Condition,,,,,,,, Unlimited 
170,Burst of Destiny,BODE-EN073,Common,Swordsoul Blackout,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
171,Pharaonic Guardian,PGD-071,Common,Yomi Ship,Monster,WATER,800,1400,3.0,None,nan,Aqua , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
172,Galactic Overlord,GAOV-EN014,Common,Moonlit Papillon,Monster,LIGHT,1200,1600,4.0,None,nan,Insect , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
173,Judgment of the Light,JOTL-EN091,Common,Junk Blader,Monster,EARTH,1800,1000,4.0,None,nan,Warrior , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
174,Ignition Assault,IGAS-EN091,Rare,Plunder Patroll Booty,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Condition, Quick-like,,,,,,,, Unlimited 
175,The New Challengers,NECH-EN014,Super Rare,Edge Imp Sabres,Monster,DARK,1200,800,3.0,None,nan,Fiend , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
176,Blazing Vortex,BLVO-EN042,Super Rare,"Oneiros, the Dream Mirror Tormentor",Monster,DARK,3000,3000,10.0,None,nan,Fiend , Fusion , Effect,None,Continuous, Condition, Quick, Quick,,,,,,, Unlimited 
177,Maximum Gold,MAGO-EN144,Rare,Preparation of Rites,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
178,Rising Rampage,RIRA-EN081,Common,Barricadeborg Blocker,Monster,DARK,1000,None,,2,nan,Machine , Link , Effect,None,Trigger, Condition, Continuous,,,,,,,, Unlimited 
179,Phantom Rage,PHRA-EN056,Common,Virtual World Gate - Qinglong,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like, Ignition-like, Condition,,,,,,,, Unlimited 
180,Ancient Prophecy,ANPR-EN094,Ultra Rare,Gaia Plate the Earth Giant,Monster,EARTH,2800,1000,8.0,None,nan,Rock , Effect,None,None,Unclassified, Maintenance cost, Continuous,,,,,,,, Unlimited 
181,Ghosts From the Past: The 2nd Haunting,GFP2-EN024,Ultra Rare,Code Exporter,Monster,WIND,500,2300,5.0,None,nan,Cyberse , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
182,Cosmo Blazer,CBLZ-EN079,Common,Jurrac Impact,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
183,Legend of Blue Eyes White Dragon,LOB-061,Rare,Two-Pronged Attack,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
184,Cosmo Blazer,CBLZ-EN046,Ultra Rare,Number 53: Heart-eartH,Monster,DARK,100,100,5.0,None,nan,Fiend , Xyz , Effect,None,Trigger, Continuous, Trigger,,,,,,,, Unlimited 
185,The New Challengers,NECH-EN032,Ultra Rare,"Jiaotu, Darkness of the Yang Zing",Monster,DARK,0,2000,2.0,None,nan,Wyrm , Tuner , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
186,Gladiator's Assault,GLAS-EN024,Common,Gladiator Beast Secutor,Monster,WIND,400,300,4.0,None,nan,Reptile , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
187,Raging Tempest,RATE-EN047,Rare,Shiranui Sunsaga,Monster,FIRE,3500,0,10.0,None,nan,Zombie , Synchro , Effect,None,Trigger, Continuous, Condition,,,,,,,, Unlimited 
188,Legend of Blue Eyes White Dragon,LOB-020,Common,Dark King of the Abyss,Monster,DARK,1200,800,3.0,None,nan,Fiend,None,None,None,nan,,,,,,,,,, Unlimited 
189,Cosmo Blazer,CBLZ-EN033,Common,Mermail Abyssnose,Monster,WATER,1500,1500,4.0,None,nan,Fish , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
190,Legacy of the Valiant,LVAL-EN008,Common,Chronomaly Moai Carrier,Monster,EARTH,900,1800,5.0,None,nan,Rock , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
191,Cybernetic Horizon,CYHO-EN061,Common,World Legacy's Memory,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Lingering, Condition,,,,,,,, Unlimited 
192,Ghosts From the Past: The 2nd Haunting,GFP2-EN130,Ultra Rare,"Baxia, Brightness of the Yang Zing",Monster,LIGHT,2300,2600,8.0,None,nan,Wyrm , Synchro , Effect,None,Trigger, Ignition,,,,,,,,, Unlimited 
193,Rising Rampage,RIRA-EN055,Rare,Fortune Vision,Spell,nan,,None,,None,Continuous,nan,None,None,None,Effect, Trigger-like, Trigger-like, Condition,,,,,,, Unlimited 
194,Cyberdark Impact,CDIP-EN058,Super Rare,Cyber Shadow Gardna,Trap,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Effect, Trigger, Trigger,,,,,,, Unlimited 
195,Circuit Break,CIBR-EN062,Ultra Rare,Arrivalrivals,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
196,Labyrinth of Nightmare,LON-034,Super Rare,Fire Princess,Monster,FIRE,1300,1500,4.0,None,nan,Pyro , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
197,Legend of Blue Eyes White Dragon,LOB-069,Common,Uraby,Monster,EARTH,1500,800,4.0,None,nan,Dinosaur , Normal,None,None,nan,,,,,,,,,, Unlimited 
198,Maximum Gold,MAGO-EN155,Rare,"Hey, Trunade!",Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
199,Clash of Rebellions,CORE-EN031,Common,Igknight Gallant,Monster,FIRE,2100,2200,6.0,None,nan,Warrior , Pendulum,None,None,Pendulum Effect , Ignition-like,,,,,,,,, Unlimited 
200,Breakers of Shadow,BOSH-EN020,Common,Dragon Buster Destruction Sword,Monster,DARK,400,300,1.0,None,nan,Dragon , Tuner , Effect,None,Ignition, Continuous-like, Ignition-like, Condition,,,,,,, Unlimited 
201,Eternity Code,ETCO-EN023,Super Rare,Ancient Warriors - Ingenious Zhuge Kong,Monster,WIND,1000,2000,4.0,None,nan,Beast-Warrior , Effect,None,None,Trigger, Quick, Quick, Condition,,,,,,, Unlimited 
202,Elemental Energy,EEN-EN052,Common,Dark Deal,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
203,Legend of Blue Eyes White Dragon,LOB-053,Super Rare,Raigeki,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
204,Tactical Evolution,TAEV-EN057,Rare,Summoner's Art,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
205,Breakers of Shadow,BOSH-EN015,Common,Twilight Ninja Shingetsu,Monster,DARK,1500,100,4.0,None,nan,Warrior , Effect,None,None,Continuous, Continuous, Trigger, Condition,,,,,,, Unlimited 
206,Eternity Code,ETCO-EN007,Common,Noctovision Dragon,Monster,DARK,0,2800,7.0,None,nan,Dragon , Effect,None,None,Quick, Condition, Trigger, Trigger,,,,,,, Unlimited 
207,Duelist Alliance,DUEA-EN025,Common,Shaddoll Squamata,Monster,DARK,1800,1000,4.0,None,nan,Spellcaster , Flip , Effect,None,Flip, Trigger, Condition,,,,,,,, Unlimited 
208,Judgment of the Light,JOTL-EN088,Ultra Rare,Xyz Encore,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Lingering, Condition,,,,,,,, Unlimited 
209,Rising Rampage,RIRA-EN008,Rare,Fortune Lady Past,Monster,DARK,?,?,1.0,None,nan,Spellcaster , Tuner , Effect,None,Continuous, Trigger, Ignition, Condition,,,,,,, Unlimited 
210,Phantom Rage,PHRA-EN015,Super Rare,Dual Avatar Feet - Kokoku,Monster,LIGHT,800,2000,3.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
211,Ancient Prophecy,ANPR-EN086,Ultra Rare,Flamvell Commando,Monster,FIRE,2200,200,6.0,None,nan,Pyro , Effect,None,None,Summoning condition, Ignition,,,,,,,,, Unlimited 
212,Lightning Overdrive,LIOV-EN071,Ultra Rare,Amaze Attraction Cyclo-Coaster,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
213,Flames of Destruction,FLOD-EN000,Common,Kai-Den Kendo Spirit,Monster,WIND,2400,1000,5.0,None,nan,Warrior , Pendulum , Spirit , Effect,Pendulum Effect , Trigger-like, Monster Effect, Trigger, Trigger,,,,,, Unlimited 
214,Rise of the Duelist,ROTD-EN046,Ultra Rare,Rikka Queen Strenna,Monster,WATER,2000,2000,4.0,None,nan,Plant , Xyz , Effect,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
215,Dawn of Majesty,DAMA-EN035,Super Rare,Despian Proskenion,Monster,LIGHT,3200,3200,11.0,None,nan,Fiend , Fusion , Effect,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
216,Legendary Duelists: Synchro Storm,LED8-EN003,Super Rare,Speedroid Ultra Hound,Monster,WIND,800,800,3.0,None,nan,Machine , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
217,Soul of the Duelist,SOD-EN014,Rare,Armed Dragon LV5,Monster,WIND,2400,1700,5.0,None,nan,Dragon , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
218,Rising Rampage,RIRA-EN075,Common,The Return to the Normal,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
219,Lightning Overdrive,LIOV-EN018,Common,"Blackeyes, the Plunder Patroll Seaguide",Monster,WATER,1000,1000,4.0,None,nan,Fiend , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
220,Clash of Rebellions,CORE-EN056,Super Rare,Brilliant Fusion,Spell,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Ignition-like, Condition,,,,,,, Forbidden 
221,Magician's Force,MFC-028,Common,Frontline Base,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like,,,,,,,,,, Unlimited 
222,Dawn of Majesty,DAMA-EN079,Super Rare,Stall Turn,Trap,nan,,None,,None,Counter,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
223,Pharaonic Guardian,PGD-064,Rare,Gravekeeper's Watcher,Monster,DARK,1000,1000,4.0,None,nan,Spellcaster , Effect,None,None,Quick,,,,,,,,,, Unlimited 
224,The Duelist Genesis,TDGS-EN099,Secret Rare,Toy Magician,Monster,LIGHT,1600,1500,4.0,None,nan,Spellcaster , Effect,None,None,Unclassified, Trigger, Trigger,,,,,,,, Unlimited 
225,Flames of Destruction,FLOD-EN064,Common,Staring Contest,Spell,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Trigger-like, Condition,,,,,,,, Unlimited 
226,Soul Fusion,SOFU-EN036,Secret Rare,Thunder Dragon Titan,Monster,LIGHT,3200,3200,10.0,None,nan,Thunder , Fusion , Effect,None,Summoning condition, Quick, Continuous,,,,,,,, Unlimited 
227,Extreme Victory,EXVC-EN004,Rare,Necro Defender,Monster,DARK,0,800,2.0,None,nan,Fiend , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
228,Light of Destruction,LODT-EN048,Common,D - Formation,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
229,Flames of Destruction,FLOD-EN018,Rare,"World Legacy - ""World Lance""",Monster,DARK,3000,0,8.0,None,nan,Machine , Effect,None,None,Continuous, Condition, Quick, Trigger,,,,,,, Unlimited 
230,Ignition Assault,IGAS-EN039,Common,Megalith Bethor,Monster,EARTH,1500,2600,8.0,None,nan,Rock , Ritual , Effect,None,Summoning condition, Ignition, Trigger, Condition,,,,,,, Unlimited 
231,Secrets of Eternity,SECE-EN020,Secret Rare,Qliphort Monolith,Monster,EARTH,2400,1000,5.0,None,nan,Machine , Pendulum,None,None,Pendulum Effect , Continuous-like, Condition, Trigger-like,,,,,,, Unlimited 
232,Invasion of Chaos,IOC-050,Common,Tower of Babel,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
233,Crossroads of Chaos,CSOC-EN085,Super Rare,Rai-Mei,Monster,LIGHT,1400,1200,3.0,None,nan,Thunder , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
234,Abyss Rising,ABYR-EN057,Common,"Lemuria, the Forgotten City",Spell,nan,,None,,None,Field,nan,None,None,None,Condition, Continuous-like, Ignition-like,,,,,,,, Unlimited 
235,Cybernetic Horizon,CYHO-EN008,Common,Crusadia Leonis,Monster,EARTH,1200,1600,3.0,None,nan,Beast , Effect,None,None,Unclassified, Condition, Ignition, Condition,,,,,,, Unlimited 
236,Photon Shockwave,PHSW-EN061,Common,Space Cyclone,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
237,Ancient Sanctuary,AST-042,Super Rare,The Sanctuary in the Sky,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
238,Strike of Neos,STON-EN056,Common,Ritual Sealing,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
239,Invasion of Chaos,IOC-034,Short Print,Ojama Delta Hurricane!!,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
240,Legend of Blue Eyes White Dragon,LOB-025,Common,Petit Angel,Monster,LIGHT,600,900,3.0,None,nan,Fairy,None,None,None,nan,,,,,,,,,, Unlimited 
241,Lord of the Tachyon Galaxy,LTGY-EN087,Super Rare,Noble Arms of Destiny,Spell,nan,,None,,None,Equip,nan,None,None,None,Unclassified, Condition, Continuous-like, Trigger-like, Condition,,,,,, Unlimited 
242,Storm of Ragnarok,STOR-EN086,Secret Rare,"Maxx ""C""",Monster,EARTH,500,200,2.0,None,nan,Insect , Effect,None,None,Quick, Condition,,,,,,,,, Forbidden 
243,Pharaoh's Servant,PSV-006,Ultra Rare,Chain Destruction,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
244,Light of Destruction,LODT-EN097,Ultra Rare,Maximum Six,Monster,EARTH,1900,1600,6.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
245,Maximum Crisis ,MACR-EN009,Rare,Predaplant Ophrys Scorpio,Monster,DARK,1200,800,3.0,None,nan,Plant , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
246,Rise of the Duelist,ROTD-EN097,Common,Superheavy Samurai Scarecrow,Monster,EARTH,0,None,,1,nan,Machine , Link , Effect,None,Condition, Continuous, Ignition, Condition,,,,,,, Unlimited 
247,Dimension Force,DIFO-EN038,Ultra Rare,Dinomorphia Rexterm,Monster,DARK,3000,0,8.0,None,nan,Dinosaur , Fusion , Effect,None,Continuous, Condition, Quick, Trigger,,,,,,, Unlimited 
248,Phantom Rage,PHRA-EN086,Common,Myutant GB-88,Monster,WATER,500,500,4.0,None,nan,Psychic , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
249,Soul Fusion,SOFU-EN021,Ultra Rare,Thunder Dragonroar,Monster,DARK,2400,0,6.0,None,nan,Thunder , Effect,None,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
250,Raging Tempest,RATE-EN056,Common,Rank-Up-Magic Cipher Ascension,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect, Condition, Continuous-like,,,,,,, Unlimited 
251,Shadow of Infinity,SOI-EN037,Common,Hero Heart,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
252,Storm of Ragnarok,STOR-EN082,Rare,Shien's Daredevil,Monster,EARTH,1600,1000,4.0,None,nan,Warrior , Effect,None,None,Trigger, Continuous, Ignition,,,,,,,, Unlimited 
253,Invasion of Chaos,IOC-053,Common,Zero Gravity,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
254,Cybernetic Horizon,CYHO-EN092,Common,Divine Serpent Geh,Monster,DARK,?,0,12.0,None,nan,Reptile , Effect,None,None,Summoning condition, Summoning condition, Trigger, Continuous, Continuous, Quick,,,,, Unlimited 
255,Rising Rampage,RIRA-EN005,Common,DMZ Dragon,Monster,DARK,0,2000,4.0,None,nan,Dragon , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
256,Crossroads of Chaos,CSOC-EN016,Common,Pursuit Chaser,Monster,EARTH,1400,600,3.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
257,Chaos Impact,CHIM-EN096,Common,Bye Bye Damage,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
258,Extreme Force,EXFO-EN041,Common,Flame Administrator,Monster,FIRE,1200,None,,2,nan,Cyberse , Link , Effect,None,Continuous, Unclassified,,,,,,,,, Unlimited 
259,Raging Tempest,RATE-EN046,Ultra Rare,Crystron Quariongandrax,Monster,WATER,3000,3000,9.0,None,nan,Machine , Synchro , Effect,None,Trigger, Trigger,,,,,,,,, Unlimited 
260,Savage Strike,SAST-EN080,Common,Loss Time,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
261,Eternity Code,ETCO-EN047,Common,Proxy F Magician,Monster,FIRE,1400,None,,2,nan,Cyberse , Link , Effect,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
262,The Lost Millennium,TLM-EN049,Rare,Hero Signal,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
263,Soul Fusion,SOFU-EN040,Rare,Salamangreat Heatleo,Monster,FIRE,2300,None,,3,nan,Cyberse , Link , Effect,None,Trigger, Ignition,,,,,,,,, Unlimited 
264,The Lost Millennium,TLM-EN023,Rare,D.D. Survivor,Monster,DARK,1800,200,4.0,None,nan,Warrior , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
265,Labyrinth of Nightmare,LON-035,Common,Lady Assailant of Flames,Monster,FIRE,1500,1000,4.0,None,nan,Pyro , Flip , Effect,None,Flip,,,,,,,,,, Unlimited 
266,Burst of Destiny,BODE-EN066,Common,Ursarctic Drytron,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Unclassified, Condition,,,,,,,, Unlimited 
267,Soul Fusion,SOFU-EN048,Common,Agave Dragon,Monster,EARTH,3000,None,,4,nan,Wyrm , Link , Effect,None,Trigger, Condition,,,,,,,,, Unlimited 
268,Invasion of Chaos,IOC-031,Rare,Fuhma Shuriken,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like, Trigger-like,,,,,,,, Unlimited 
269,Dawn of Majesty,DAMA-EN006,Secret Rare,Aluber the Jester of Despia,Monster,DARK,1800,0,4.0,None,nan,Fairy , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
270,Extreme Victory,EXVC-EN049,Common,Fortissimo the Mobile Fortress,Spell,nan,,None,,None,Field,nan,None,None,None,Ignition-like,,,,,,,,,, Unlimited 
271,Rise of the Duelist,ROTD-EN052,Secret Rare,Nadir Servant,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Semi-Limited 
272,Galactic Overlord,GAOV-EN078,Common,Sealing Ceremony of Raiton,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like,,,,,,,,,, Unlimited 
